bat,treatment,day,cum_so,cum_bc,info,colony
EC1B3,0,2,0,1,Asocial,BS
C12F0,0,2,0,1,Asocial,BS
EC1B3,0,2,0,2,Social,BS
378B5,1,2,1,0,Asocial,BS
39652,1,2,1,0,Social,BS
365EA,1,2,1,0,Social,BS
36684,1,2,1,0,Social,BS
3A241,0,2,0,1,Social,BS
3A241,1,2,1,1,Asocial,BS
3ADE3,1,2,1,0,Social,BS
36684,1,2,2,0,Social,BS
365EA,0,2,1,1,Social,BS
1FDF2,0,2,0,1,Social,BS
C12F0,1,2,2,1,Asocial,BS
C12F0,1,2,3,1,Asocial,BS
CD221,0,3,0,1,Social,BS
378B5,0,3,1,2,Social,BS
39A11,1,3,1,0,Asocial,BS
3A241,0,3,1,4,Asocial,BS
3ADE3,0,3,1,1,Social,BS
C12F0,1,3,5,1,Asocial,BS
3ADE3,1,3,2,1,Social,BS
EC1B3,1,3,2,2,Asocial,BS
C12F0,1,3,6,1,Social,BS
39652,1,3,2,0,Social,BS
CD221,1,3,1,1,Social,BS
3ADE3,1,3,3,1,Social,BS
C2037,1,3,1,0,Social,BS
36684,1,3,4,0,Social,BS
1FDF2,1,3,3,2,Social,BS
365EA,1,3,4,3,Asocial,BS
365EA,1,3,5,3,Social,BS
1FDF2,1,3,4,2,Social,BS
3A241,1,3,2,4,Social,BS
C2037,1,3,2,0,Social,BS
378B5,1,3,2,2,Social,BS
36684,1,3,5,0,Asocial,BS
39652,1,3,3,0,Asocial,BS
39A11,1,3,2,0,Social,BS
378B5,0,4,2,3,Asocial,BS
1FDF2,1,4,7,3,Social,BS
378B5,1,4,3,3,Social,BS
1FDF2,0,4,7,4,Asocial,BS
C2037,0,4,2,1,Social,BS
EC1B3,1,4,5,3,Social,BS
C2037,1,4,4,1,Social,BS
39652,1,4,4,1,Asocial,BS
39A11,1,4,4,0,Social,BS
3A241,1,4,6,5,Asocial,BS
CD221,1,4,3,2,Social,BS
3A241,1,5,7,5,Asocial,BS
1FDF2,1,5,8,4,Asocial,BS
3ADE3,1,5,8,3,Social,BS
EC1B3,1,6,6,3,Social,BS
39A11,1,6,5,0,Social,BS
C12F0,1,8,12,1,Asocial,BS
36684,1,8,11,1,Social,BS
C12F0,0,8,12,2,Asocial,BS
3A241,1,8,10,5,Asocial,BS
CD221,1,8,6,2,Social,BS
EC1B3,1,8,9,4,Asocial,BS
1FDF2,1,8,10,4,Social,BS
CD221,1,8,7,2,Social,BS
3A241,1,8,12,5,Social,BS
36684,1,9,13,1,Social,BS
378B5,1,9,8,4,Social,BS
378B5,1,9,9,4,Asocial,BS
3ADE3,1,9,12,3,Social,BS
C2037,1,9,7,1,Asocial,BS
365EA,1,9,10,3,Social,BS
39A11,1,10,7,0,Asocial,BS
365EA,1,10,11,3,Social,BS
C12F0,1,10,13,2,Social,BS
39652,0,9,7,2,Asocial,BS
C12F0,1,10,14,2,Social,BS
39A11,1,10,8,0,Social,BS
39652,1,11,8,2,Asocial,BS
CD221,1,11,10,2,Social,BS
1FDF2,1,11,14,4,Social,BS
36684,1,11,15,2,Social,BS
39A11,1,11,9,0,Asocial,BS
378B5,1,11,12,4,Social,BS
EC1B3,1,11,13,4,Social,BS
C12F0,1,11,15,2,Social,BS
3ADE3,1,11,14,3,Social,BS
365EA,1,11,12,3,Asocial,BS
C2037,1,11,8,1,Social,BS
39652,1,11,9,2,Asocial,BS
39A11,0,27,15,1,Social,BS
1FDF2,0,30,19,6,Asocial,BS
EC1B3,0,34,25,9,Social,BS
3ADE3,1,41,36,11,Asocial,BS
39A11,1,42,25,2,Asocial,BS
36684,1,42,35,9,Social,BS
39652,1,42,25,7,Asocial,BS
378B5,1,43,26,7,Social,BS
3A241,1,43,31,9,Asocial,BS
1FDF2,0,43,32,10,Asocial,BS
CD221,1,44,18,3,Social,BS
378B5,1,53,29,7,Asocial,BS
3A241,1,53,35,10,Social,BS
39A11,1,53,29,2,Asocial,BS
CD221,1,54,21,3,Asocial,BS
39652,1,54,31,7,Asocial,BS
3ADE3,1,54,42,13,Social,BS
EC1B3,1,54,35,9,Asocial,BS
C2037,1,54,14,2,Asocial,BS
C2037,1,57,15,2,Asocial,BS
3ADE3,0,60,46,17,Social,BS
CD221,0,60,22,5,Social,BS
36684,1,90,43,12,Social,BS
C2037,1,91,18,2,Asocial,BS
CD221,1,94,25,5,Social,BS
36684,1,94,45,12,Asocial,BS
39652,1,95,38,8,Social,BS
F0832,0,22,0,1,Asocial,UA
BE89B,0,23,0,1,Asocial,UA
F238E,1,29,1,0,Asocial,UA
2A1D2,1,29,1,0,Social,UA
F0832,1,31,1,1,Asocial,UA
BD6CC,1,32,1,0,Asocial,UA
E1A0D,1,32,1,0,Social,UA
F0832,1,32,3,1,Asocial,UA
E1A0D,1,32,2,0,Social,UA
35440,1,32,1,0,Social,UA
D1E39,1,32,1,0,Social,UA
3775E,1,32,1,0,Social,UA
FA4F8,1,33,1,0,Social,UA
34FCA,1,33,1,0,Social,UA
EBF3C,1,33,1,0,Social,UA
D8712,1,33,1,0,Social,UA
BE89B,0,33,0,2,Asocial,UA
0D8F5,1,33,1,0,Social,UA
E1A0D,1,33,4,0,Asocial,UA
F0832,1,33,5,1,Social,UA
34FCA,0,33,1,1,Asocial,UA
294D3,1,33,1,0,Social,UA
F0832,0,33,5,2,Asocial,UA
0FBF5,1,33,1,0,Social,UA
F0832,1,33,6,2,Asocial,UA
35440,1,33,3,0,Social,UA
D2562,1,33,1,0,Social,UA
0ED72,1,33,1,0,Social,UA
BE89B,1,33,1,2,Social,UA
D1338,1,33,1,0,Social,UA
BD6CC,1,33,2,0,Asocial,UA
3A093,1,33,1,0,Asocial,UA
D110D,1,33,1,0,Social,UA
F4107,1,33,1,0,Social,UA
BE89B,0,34,1,3,Asocial,UA
F4107,1,36,2,0,Social,UA
D1E39,1,36,3,0,Social,UA
3A093,0,37,1,1,Asocial,UA
FA4F8,1,37,2,0,Social,UA
294D3,1,37,2,0,Social,UA
F238E,1,37,3,0,Social,UA
3775E,0,37,2,1,Social,UA
3775E,1,37,4,1,Social,UA
D1338,0,37,1,1,Asocial,UA
D1338,1,37,2,1,Asocial,UA
35440,0,37,3,1,Social,UA
D8712,1,37,2,1,Social,UA
35440,1,37,4,1,Social,UA
0FBF5,1,37,2,1,Social,UA
3A093,1,37,2,1,Social,UA
D2562,1,37,2,0,Asocial,UA
D110D,1,37,2,0,Asocial,UA
F238E,1,37,4,1,Social,UA
2A1D2,1,37,5,2,Social,UA
2A1D2,0,37,5,3,Asocial,UA
EBF3C,0,37,1,1,Social,UA
EBF3C,1,37,2,1,Social,UA
BD6CC,1,37,5,0,Social,UA
F4107,1,37,4,0,Asocial,UA
0D8F5,1,37,2,0,Asocial,UA
0ED72,1,38,2,0,Social,UA
BD6CC,1,41,7,2,Asocial,UA
D1E39,1,41,5,0,Social,UA
D2562,1,41,3,0,Social,UA
F4107,0,42,4,1,Social,UA
34FCA,1,42,3,1,Social,UA
D2562,1,42,4,0,Social,UA
D2562,1,42,5,1,Social,UA
D1E39,1,42,6,0,Asocial,UA
2A1D2,1,42,6,4,Social,UA
D2562,1,42,6,1,Social,UA
2A1D2,0,42,6,5,Asocial,UA
F0832,0,42,15,7,Social,UA
F4107,1,45,5,1,Social,UA
D8712,1,45,4,1,Social,UA
0FBF5,1,45,3,2,Social,UA
EBF3C,1,45,5,1,Social,UA
294D3,1,45,3,2,Social,UA
294D3,1,45,4,2,Social,UA
3A093,1,45,3,1,Asocial,UA
D8712,1,45,5,1,Asocial,UA
0D8F5,1,45,3,0,Asocial,UA
0ED72,1,45,3,0,Asocial,UA
D110D,1,45,3,0,Social,UA
34FCA,1,46,4,1,Asocial,UA
EBF3C,1,45,6,1,Asocial,UA
FA4F8,1,46,3,0,Social,UA
F238E,1,46,6,1,Asocial,UA
3775E,1,46,5,1,Asocial,UA
34FCA,1,46,5,1,Social,UA
D1E39,1,46,7,0,Asocial,UA
3775E,1,46,6,2,Social,UA
D1338,1,46,3,2,Social,UA
2A1D2,1,46,7,5,Social,UA
FA4F8,1,46,4,0,Social,UA
0ED72,1,46,4,0,Social,UA
F238E,1,46,7,1,Asocial,UA
3A093,1,46,4,1,Asocial,UA
0D8F5,1,46,4,0,Social,UA
D110D,0,46,3,1,Asocial,UA
BE89B,1,46,5,5,Asocial,UA
BD6CC,1,46,9,2,Social,UA
E1A0D,1,47,6,1,Social,UA
0FBF5,1,47,4,2,Social,UA
0FBF5,1,49,5,2,Social,UA
D1338,0,50,4,3,Social,UA
2A1D2,1,50,9,5,Asocial,UA
F238E,0,51,8,2,Social,UA
D1E39,1,51,11,2,Asocial,UA
35440,1,51,10,3,Social,UA
D2562,1,51,10,3,Social,UA
E1A0D,1,51,8,3,Social,UA
294D3,1,51,8,5,Asocial,UA
F4107,1,51,9,3,Social,UA
FA4F8,1,51,7,2,Social,UA
D1338,1,51,5,4,Social,UA
F0832,1,51,20,8,Social,UA
3775E,1,51,8,2,Asocial,UA
EBF3C,1,51,9,1,Social,UA
D8712,1,51,8,3,Asocial,UA
D110D,1,51,6,2,Social,UA
0FBF5,1,51,7,3,Asocial,UA
3A093,1,51,7,2,Asocial,UA
0D8F5,1,51,6,0,Social,UA
BE89B,1,51,7,7,Asocial,UA
0ED72,1,51,6,0,Social,UA
34FCA,1,51,9,1,Asocial,UA
BD6CC,1,51,11,3,Social,UA
F238E,1,57,10,3,Asocial,UA
294D3,1,57,9,6,Asocial,UA
D110D,1,57,7,2,Asocial,UA
F4107,1,57,10,3,Social,UA
FA4F8,1,57,8,2,Social,UA
BE89B,1,57,8,7,Asocial,UA
E1A0D,1,57,9,3,Asocial,UA
D8712,1,57,9,3,Social,UA
D1338,1,57,6,5,Social,UA
34FCA,1,57,10,1,Social,UA
0ED72,1,57,7,0,Asocial,UA
35440,1,58,11,4,Social,UA
0D8F5,1,58,7,0,Asocial,UA
3A093,1,61,9,2,Social,UA
FA4F8,0,61,8,3,Social,UA
BD6CC,1,61,13,3,Social,UA
35440,1,61,12,4,Social,UA
0FBF5,1,62,8,3,Asocial,UA
BE89B,1,62,9,7,Social,UA
2A1D2,0,77,14,10,Social,UA
35440,0,77,13,6,Social,UA
D1338,0,77,9,8,Social,UA
294D3,0,77,11,9,Social,UA
FA4F8,0,77,11,6,Social,UA
D1E39,0,77,14,3,Social,UA
3A093,0,77,14,7,Social,UA
D2562,0,77,14,8,Social,UA